teamId,final_score,winner,total_record,gameId,homeAway
12,27,True,1-0,401671789,home
33,20,False,0-1,401671789,away
21,34,True,1-0,401671805,home
9,29,False,0-1,401671805,away
1,10,False,0-1,401671744,home
23,18,True,1-0,401671744,away
2,34,True,1-0,401671617,home
22,28,False,0-1,401671617,away
3,24,True,1-0,401671719,home
10,17,False,0-1,401671719,away
4,10,False,0-1,401671628,home
17,16,True,1-0,401671628,away
11,27,False,0-1,401671861,home
34,29,True,1-0,401671861,away
15,20,True,1-0,401671849,home
30,17,False,0-1,401671849,away
18,47,True,1-0,401671734,home
29,10,False,0-1,401671734,away
19,6,False,0-1,401671712,home
16,28,True,1-0,401671712,away
24,22,True,1-0,401671659,home
13,10,False,0-1,401671659,away
26,26,True,1-0,401671664,home
7,20,False,0-1,401671664,away
5,17,False,0-1,401671761,home
6,33,True,1-0,401671761,away
27,37,True,1-0,401671770,home
28,20,False,0-1,401671770,away
8,26,True,1-0,401671792,home
14,20,False,0-1,401671792,away
25,32,True,1-0,401671696,home
20,19,False,0-1,401671696,away
15,10,False,1-1,401671807,home
2,31,True,2-0,401671807,away
6,19,False,1-1,401671709,home
18,44,True,2-0,401671709,away
8,16,False,1-1,401671721,home
27,20,True,2-0,401671721,away
9,16,True,1-1,401671723,home
11,10,False,0-2,401671723,away
10,17,False,0-2,401671636,home
20,24,True,1-1,401671636,away
16,23,True,2-0,401671645,home
25,17,False,1-1,401671645,away
17,20,False,1-1,401671702,home
26,23,True,2-0,401671702,away
28,21,True,1-1,401671716,home
19,18,False,0-2,401671716,away
29,3,False,0-2,401671652,home
24,26,True,2-0,401671652,away
30,13,False,0-2,401671635,home
5,18,True,1-1,401671635,away
33,23,False,0-2,401671624,home
13,26,True,1-1,401671624,away
22,41,True,1-1,401671754,home
14,10,False,0-2,401671754,away
7,6,False,0-2,401671668,home
23,13,True,2-0,401671668,away
12,26,True,2-0,401671670,home
4,25,False,0-2,401671670,away
34,19,True,2-0,401671786,home
3,13,False,1-1,401671786,away
21,21,False,1-1,401671691,home
1,22,True,1-1,401671691,away
20,24,True,2-1,401671808,home
17,3,False,1-2,401671808,away
5,15,False,1-2,401671855,home
19,21,True,1-2,401671855,away
10,14,False,0-3,401671823,home
9,30,True,2-1,401671823,away
11,21,True,1-2,401671865,home
3,16,False,1-2,401671865,away
16,34,True,3-0,401671646,home
34,7,False,2-1,401671646,away
18,12,False,2-1,401671736,home
21,15,True,2-1,401671736,away
23,20,True,3-0,401671632,home
24,10,False,2-1,401671632,away
27,7,False,2-1,401671741,home
7,26,True,1-2,401671741,away
13,22,False,1-2,401671658,home
29,36,True,1-2,401671658,away
26,24,True,3-0,401671662,home
15,3,False,1-2,401671662,away
6,25,False,1-2,401671763,home
33,28,True,1-2,401671763,away
14,27,True,1-2,401671772,home
25,24,False,1-2,401671772,away
22,13,False,1-2,401671771,home
8,20,True,2-1,401671771,away
1,17,False,1-2,401671793,home
12,22,True,3-0,401671793,away
2,47,True,3-0,401671682,home
30,10,False,0-3,401671682,away
4,33,False,0-3,401671490,home
28,38,True,2-1,401671490,away
19,15,False,1-3,401671812,home
6,20,True,2-2,401671812,away
1,26,True,2-2,401671727,home
18,24,False,2-2,401671727,away
3,24,True,2-2,401671871,home
14,18,False,1-3,401671871,away
9,29,False,2-2,401671643,home
16,31,True,4-0,401671643,away
11,27,True,2-2,401671867,home
23,24,False,3-1,401671867,away
20,9,False,2-2,401671622,home
7,10,True,2-2,401671622,away
27,33,True,3-1,401671740,home
21,16,False,2-2,401671740,away
29,24,False,1-3,401671745,home
4,34,True,1-3,401671745,away
34,24,True,3-1,401671857,home
30,20,False,0-4,401671857,away
22,14,False,1-3,401671755,home
28,42,True,3-1,401671755,away
25,30,True,2-2,401671758,home
17,13,False,1-3,401671758,away
13,20,True,2-2,401671672,home
5,16,False,1-3,401671672,away
24,10,False,2-2,401671674,home
12,17,True,4-0,401671674,away
33,35,True,2-2,401671783,home
2,10,False,3-1,401671783,away
15,12,False,1-3,401671683,home
10,31,True,1-3,401671683,away
8,42,True,3-1,401671491,home
26,29,False,3-1,401671491,away
1,36,True,3-2,401671815,home
27,30,False,3-2,401671815,away
16,23,True,5-0,401671804,home
20,17,False,2-3,401671804,away
3,36,True,3-2,401671872,home
29,10,False,1-4,401671872,away
4,38,False,1-4,401671626,home
33,41,True,3-2,401671626,away
17,10,False,1-4,401671700,home
15,15,True,2-3,401671700,away
28,34,True,4-1,401671718,home
5,13,False,1-4,401671718,away
