teamId,uid,slug,abbreviation,display_name,short_display_name,name,nickname,location,color,alternate_color,is_active,default_logo
22,s:20~l:28~t:22,arizona-cardinals,ARI,Arizona Cardinals,Cardinals,Cardinals,Cardinals,Arizona,a40227,ffffff,True,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png
1,s:20~l:28~t:1,atlanta-falcons,ATL,Atlanta Falcons,Falcons,Falcons,Falcons,Atlanta,a71930,000000,True,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png
33,s:20~l:28~t:33,baltimore-ravens,BAL,Baltimore Ravens,Ravens,Ravens,Ravens,Baltimore,29126f,000000,True,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
2,s:20~l:28~t:2,buffalo-bills,BUF,Buffalo Bills,Bills,Bills,Bills,Buffalo,00338d,d50a0a,True,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
29,s:20~l:28~t:29,carolina-panthers,CAR,Carolina Panthers,Panthers,Panthers,Panthers,Carolina,0085ca,000000,True,https://a.espncdn.com/i/teamlogos/nfl/500/car.png
3,s:20~l:28~t:3,chicago-bears,CHI,Chicago Bears,Bears,Bears,Bears,Chicago,0b1c3a,e64100,True,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
4,s:20~l:28~t:4,cincinnati-bengals,CIN,Cincinnati Bengals,Bengals,Bengals,Bengals,Cincinnati,fb4f14,000000,True,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
5,s:20~l:28~t:5,cleveland-browns,CLE,Cleveland Browns,Browns,Browns,Browns,Cleveland,472a08,ff3c00,True,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png
6,s:20~l:28~t:6,dallas-cowboys,DAL,Dallas Cowboys,Cowboys,Cowboys,Cowboys,Dallas,002a5c,b0b7bc,True,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png
7,s:20~l:28~t:7,denver-broncos,DEN,Denver Broncos,Broncos,Broncos,Broncos,Denver,0a2343,fc4c02,True,https://a.espncdn.com/i/teamlogos/nfl/500/den.png
8,s:20~l:28~t:8,detroit-lions,DET,Detroit Lions,Lions,Lions,Lions,Detroit,0076b6,bbbbbb,True,https://a.espncdn.com/i/teamlogos/nfl/500/det.png
9,s:20~l:28~t:9,green-bay-packers,GB,Green Bay Packers,Packers,Packers,Packers,Green Bay,204e32,ffb612,True,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
34,s:20~l:28~t:34,houston-texans,HOU,Houston Texans,Texans,Texans,Texans,Houston,00143f,c41230,True,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
11,s:20~l:28~t:11,indianapolis-colts,IND,Indianapolis Colts,Colts,Colts,Colts,Indianapolis,003b75,ffffff,True,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png
30,s:20~l:28~t:30,jacksonville-jaguars,JAX,Jacksonville Jaguars,Jaguars,Jaguars,Jaguars,Jacksonville,007487,d7a22a,True,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
12,s:20~l:28~t:12,kansas-city-chiefs,KC,Kansas City Chiefs,Chiefs,Chiefs,Chiefs,Kansas City,e31837,ffb612,True,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png
13,s:20~l:28~t:13,las-vegas-raiders,LV,Las Vegas Raiders,Raiders,Raiders,Raiders,Las Vegas,000000,a5acaf,True,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
24,s:20~l:28~t:24,los-angeles-chargers,LAC,Los Angeles Chargers,Chargers,Chargers,Chargers,Los Angeles,0080c6,ffc20e,True,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
14,s:20~l:28~t:14,los-angeles-rams,LAR,Los Angeles Rams,Rams,Rams,Rams,Los Angeles,003594,ffd100,True,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
15,s:20~l:28~t:15,miami-dolphins,MIA,Miami Dolphins,Dolphins,Dolphins,Dolphins,Miami,008e97,fc4c02,True,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png
16,s:20~l:28~t:16,minnesota-vikings,MIN,Minnesota Vikings,Vikings,Vikings,Vikings,Minnesota,4f2683,ffc62f,True,https://a.espncdn.com/i/teamlogos/nfl/500/min.png
17,s:20~l:28~t:17,new-england-patriots,NE,New England Patriots,Patriots,Patriots,Patriots,New England,002a5c,c60c30,True,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png
18,s:20~l:28~t:18,new-orleans-saints,NO,New Orleans Saints,Saints,Saints,Saints,New Orleans,d3bc8d,000000,True,https://a.espncdn.com/i/teamlogos/nfl/500/no.png
19,s:20~l:28~t:19,new-york-giants,NYG,New York Giants,Giants,Giants,Giants,New York,003c7f,c9243f,True,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png
20,s:20~l:28~t:20,new-york-jets,NYJ,New York Jets,Jets,Jets,Jets,New York,115740,ffffff,True,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png
21,s:20~l:28~t:21,philadelphia-eagles,PHI,Philadelphia Eagles,Eagles,Eagles,Eagles,Philadelphia,06424d,000000,True,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
23,s:20~l:28~t:23,pittsburgh-steelers,PIT,Pittsburgh Steelers,Steelers,Steelers,Steelers,Pittsburgh,000000,ffb612,True,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png
25,s:20~l:28~t:25,san-francisco-49ers,SF,San Francisco 49ers,49ers,49ers,49ers,San Francisco,aa0000,b3995d,True,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png
26,s:20~l:28~t:26,seattle-seahawks,SEA,Seattle Seahawks,Seahawks,Seahawks,Seahawks,Seattle,002a5c,69be28,True,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png
27,s:20~l:28~t:27,tampa-bay-buccaneers,TB,Tampa Bay Buccaneers,Buccaneers,Buccaneers,Buccaneers,Tampa Bay,bd1c36,3e3a35,True,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png
